Time in ms,X in mm,Y in mm,Z in mm
6904.58918,247.08,314.76,479.29
6930.84121,247.88,315.12,480.72
6957.45802,247.85,316.36,481.28
6981.26268,247.8,316.76,482.16
7006.5589,248.54,316.62,484.78
7032.41134,247.9,317.68,480.15
7058.88891,248.19,318.39,483.3
7082.25226,248.15,319.63,483.61
7107.53107,248.22,320.99,482.15
7129.63152,248.22,322.25,482.16
7163.33437,247.88,323.57,480.42
7194.88192,248.25,323.54,481.86
7221.09222,248.0,324.48,478.15
7245.55922,247.59,324.9,477.85
7269.92249,248.3,325.25,480.43
7297.97697,247.54,325.71,478.99
7322.58224,248.04,325.75,477.29
7349.01881,248.02,325.75,477.58
7375.12016,247.06,325.69,480.13
7399.38164,247.58,326.15,478.14
7424.61467,248.05,325.76,477.01
7452.24094,247.59,326.15,477.87
7477.13208,247.56,325.73,478.43
7499.25756,247.95,324.43,479.28
7524.99151,248.27,323.55,481.55
7551.4667,247.53,322.35,479.28
7577.86298,248.2,320.98,482.16
7605.01766,248.21,320.11,482.45
7632.20525,248.14,319.21,483.9
7661.03458,248.69,318.03,481.57
7687.08062,248.67,316.74,482.14
7711.48062,247.81,316.32,481.86
7736.68218,247.79,315.45,482.16
7761.86514,247.47,315.55,480.42
7792.45043,247.83,315.48,482.14
7814.38708,247.83,315.5,481.58
7842.57054,247.53,315.17,479.56
7864.56895,247.47,314.29,480.15
7891.38556,247.46,313.85,480.42
7916.43691,247.48,313.44,480.42
7941.65993,247.08,314.33,479.57
7966.90083,247.11,314.76,479.29
7991.22047,248.17,314.99,483.32
8016.22224,247.87,315.11,481.0
8044.8792,247.84,315.09,481.28
8077.20137,247.48,315.58,479.86
8099.3762,248.11,316.21,485.05
8127.00438,248.63,316.71,482.45
8156.51131,248.23,318.44,482.44
8181.11229,247.84,318.88,481.57
8209.93471,247.89,320.2,480.13
8232.90253,248.2,320.97,482.45
8258.74734,247.85,321.87,480.72
8282.07684,247.95,323.61,478.71
8313.23314,248.58,323.49,483.89
8342.80348,248.29,323.97,480.99
8365.9718,247.62,324.48,477.58
8399.55711,248.27,325.66,481.3
8424.56651,248.32,325.68,480.41
8449.92208,247.59,326.15,478.14
8474.54929,247.6,326.16,477.86
8502.70629,247.58,325.73,478.14
8528.2371,247.13,325.7,478.72
8552.23584,247.1,325.71,479.56
8582.3667,247.94,325.71,479.27
8607.69868,248.01,325.31,478.43
8632.77555,247.54,324.04,478.72
8657.96566,247.86,323.56,481.0
8680.80926,248.19,322.64,483.03
8704.26059,248.2,321.81,482.74
8728.05738,248.18,320.1,483.32
8754.02951,248.15,318.79,484.18
8778.25356,248.59,316.69,483.32
8816.72883,247.46,315.55,480.42
8846.04645,247.87,315.11,480.71
8874.3875,247.86,315.1,481.01
8899.28389,247.48,315.16,479.87
8927.94394,247.11,315.18,479.01
8952.53658,247.9,313.88,480.15
8978.30701,247.54,314.38,479.0
9002.85244,247.54,314.35,479.27
9031.23784,247.07,315.17,479.58
9059.56483,247.08,315.17,479.28
9086.71999,247.47,315.14,480.15
9111.0456,247.11,315.18,479.56
9138.17501,247.82,315.06,481.58
9164.78205,247.81,315.49,481.87
9190.68503,247.79,316.73,482.45
9215.168,248.15,316.67,483.6
9243.23201,248.56,317.93,484.17
9264.86731,248.15,318.79,483.89
9291.51821,247.85,320.17,481.28
9316.87808,248.25,321.0,481.86
9343.71161,248.27,323.12,481.57
9368.02125,248.2,323.52,483.01
9394.72675,248.31,324.84,480.71
9420.39251,247.61,325.73,477.58
9444.88549,247.94,326.13,478.72
9469.65122,247.52,326.14,478.99
9494.65299,248.32,326.12,480.41
9519.99974,247.99,325.73,478.43
9544.26026,247.55,325.73,478.71
9569.06199,247.56,325.73,478.43
9593.90616,247.58,325.73,477.86
9619.27867,247.55,325.71,478.99
9645.14256,247.95,325.7,478.72
9669.44885,247.63,325.75,477.29
9694.15975,247.6,324.48,477.87
9719.71536,247.6,323.64,477.85
9743.89052,248.62,323.08,483.02
9766.30831,247.94,321.07,479.29
9792.76919,248.14,320.07,483.9
9817.46101,248.58,320.08,483.89
9844.58113,247.89,319.77,480.43
9870.32032,248.68,318.05,481.01
9894.69337,248.66,316.74,482.13
9916.58592,247.52,315.62,479.27
9941.93006,247.1,315.18,479.28
9965.60431,247.11,315.21,479.0
9991.08911,247.87,315.12,480.71
10014.359,247.84,315.09,481.28
10038.52797,247.11,315.2,479.0
10060.99296,247.54,314.35,479.01
10083.48417,247.56,313.97,478.43
10108.04057,247.91,314.32,479.86
10133.00037,247.11,315.19,479.27
10160.87937,247.49,315.15,479.85
10183.98714,247.14,314.79,478.71
10211.60173,247.12,315.2,479.0
10234.06553,247.87,315.1,481.0
10260.14638,247.52,315.61,479.28
10282.27425,247.94,316.44,479.85
10309.9823,248.11,316.63,484.48
10335.90937,248.54,316.65,484.49
10362.72144,248.54,317.92,484.76
10385.91909,248.14,318.78,484.2
10414.15071,248.21,320.12,482.72
10442.46626,247.96,321.08,478.99
10469.16103,247.91,322.75,479.86
10495.60928,247.97,324.03,478.72
10521.31295,248.25,323.97,481.57
10545.93253,248.03,324.05,477.86
10569.82899,247.94,324.44,479.0
10595.63017,247.94,324.45,479.28
10624.39108,248.02,324.9,477.58
10649.11485,247.93,325.28,479.57
10677.13499,247.94,325.7,479.56
10698.77243,247.61,325.75,477.85
10725.49272,248.02,325.73,477.58
10754.42433,248.04,326.18,477.29
10780.13921,247.54,325.72,478.71
10802.86741,247.97,325.71,478.7
10832.70025,248.28,325.25,481.01
10857.54418,247.08,324.45,479.57
10882.52807,247.92,323.59,479.86
10916.73803,248.21,323.1,482.45
10944.52906,248.26,320.57,481.58
10968.25314,248.1,319.62,484.49
11000.49496,248.58,317.95,483.62
11026.12638,248.7,317.22,481.28
11054.94475,248.17,316.27,483.04
11077.83771,248.13,316.65,483.9
11103.58572,247.49,316.43,479.84
11129.38499,247.5,315.56,479.86
11153.23305,247.89,315.14,480.14
11181.06627,247.07,315.17,479.56
11208.28676,247.87,313.86,480.71
11232.73063,247.81,313.77,482.16
11258.55017,247.46,313.85,480.42
11283.04863,247.89,313.85,480.69
11310.79841,247.49,314.3,480.14
11336.08484,247.06,314.73,479.85
11358.69884,247.88,315.13,480.43
11381.85978,247.84,315.08,481.28
11404.37508,247.84,315.09,481.29
11428.70593,247.87,316.39,480.72
11451.4277,248.62,316.7,483.02
11474.43843,248.13,317.51,484.19
11502.95568,248.59,318.82,483.32
11529.46281,247.88,320.19,480.71
11558.9025,248.25,321.01,481.58
11584.02324,248.24,322.28,481.29
11611.0816,247.97,322.77,478.72
11633.77333,248.59,323.07,483.31
11657.86529,247.9,323.59,480.13
11679.93283,247.57,323.64,478.14
11709.08618,248.3,323.14,480.71
11736.1691,248.0,324.05,478.16
11760.06174,247.57,324.45,478.17
11782.57251,247.97,325.7,479.0
11808.12716,247.57,325.31,478.15
11833.73046,247.57,326.13,478.43
11858.70028,247.58,326.57,478.14
11882.09391,247.58,326.57,477.87
11912.59336,247.97,326.14,478.71
11933.78186,248.04,325.75,477.02
11959.2278,247.91,325.7,479.57
11986.10187,247.55,324.89,478.44
12012.04133,247.98,324.06,478.15
12036.03506,248.2,323.5,482.73
12061.84053,247.54,323.61,478.71
12086.36832,247.56,323.63,478.15
12112.30969,248.24,323.12,481.86
12138.35168,247.92,322.74,479.85
12162.35042,247.49,321.89,479.86
12187.92748,248.26,320.17,481.58
12212.95857,248.71,318.49,480.99
12236.61232,248.66,317.17,482.15
12262.90798,248.58,316.67,483.89
12288.18393,248.58,316.65,484.18
12312.91986,248.16,316.68,483.6
12339.35118,248.11,316.21,484.77
12363.43813,247.89,316.42,479.86
12386.69205,247.5,315.6,479.56
12411.40151,247.82,315.5,481.28
12433.93922,247.49,315.17,479.85
12465.15989,247.47,314.71,480.16
12490.55004,247.43,313.82,481.01
12517.38262,247.45,313.44,480.43
12547.0953,247.51,313.9,479.85
12571.82693,247.1,314.34,479.29
12594.90776,247.5,315.16,479.84
12619.14825,247.48,315.56,480.41
12644.40179,247.89,316.41,480.14
12677.38342,248.17,316.67,483.32
12698.65108,248.61,316.7,483.03
12721.94958,248.23,317.16,482.43
12749.90225,248.15,318.8,483.89
12782.48525,248.23,320.12,482.44
12809.29565,248.21,321.39,482.44
12832.87382,248.28,322.29,480.71
12860.7564,248.27,322.71,481.29
12883.44622,248.61,323.08,483.02
12912.50634,248.23,323.52,482.16
12936.39469,248.25,323.55,481.28
12963.70459,248.01,323.63,478.14
12991.21261,247.92,324.45,479.57
13016.32214,247.96,324.45,478.99
13043.27703,247.93,324.85,479.84
13067.63196,247.98,325.32,478.43
13096.13347,248.28,325.67,480.72
13120.70751,247.56,326.57,478.43
13144.39201,247.58,326.56,478.42
13165.92145,247.6,326.17,477.31
13192.43813,248.01,325.74,477.59
13215.6899,248.29,325.67,481.0
13244.95578,248.0,325.31,478.14
13268.9476,248.01,325.31,477.87
13292.82355,247.12,324.85,479.28
13315.4006,247.91,323.57,480.43
13340.49225,248.65,322.67,482.15
13364.72392,248.27,320.18,481.29
13388.24987,248.15,318.81,483.32
13415.90858,248.59,317.95,483.61
13443.07375,248.16,317.96,483.6
13468.85824,248.61,317.97,483.03
13494.75408,248.15,317.52,483.89
13516.98899,248.67,316.74,481.86
13541.10718,248.14,316.65,484.2
13564.61382,248.16,316.69,483.32
13593.52684,248.18,316.69,483.32
13620.56637,247.66,315.76,484.78
13647.88508,247.1,314.76,479.56
13670.99762,247.47,313.43,480.7
13696.51437,247.46,312.57,480.71
13720.22271,247.47,313.02,480.42
13746.29784,247.81,313.79,481.87
13771.38305,247.11,314.79,479.28
13793.28156,247.48,315.14,480.42
13815.15884,247.49,314.72,480.13
13842.26179,247.1,314.76,479.29
13865.79967,247.1,315.19,479.28
13896.02327,247.8,315.47,482.16
13924.06797,247.51,315.59,479.57
13949.03684,247.47,315.56,480.14
13975.39949,247.91,315.98,480.14
13998.54612,248.08,316.18,485.07
14024.57905,248.13,316.64,484.2
14048.48385,248.67,318.03,482.15
14080.98936,248.17,319.26,483.02
14104.87199,248.16,320.49,483.34
14129.53019,248.05,321.72,485.97
14158.40411,248.35,323.59,479.84
14188.83157,247.99,323.63,478.42
14211.59744,247.97,324.48,478.42
14232.87201,248.28,325.27,480.72
14257.33948,248.01,325.73,478.14
14285.20274,247.55,325.72,478.43
14313.27772,247.57,325.73,478.15
14336.65109,247.59,325.73,477.58
14362.33902,247.61,325.73,477.31
14382.38001,247.92,325.7,479.55
14408.01644,247.57,325.73,478.15
14434.93366,247.98,325.73,478.7
14458.35471,247.1,325.71,479.28
14500.38862,247.6,325.33,477.86
14527.01545,247.6,324.88,477.87
14554.81386,247.56,324.04,478.71
14578.66788,248.28,323.56,481.0
14607.83958,248.32,321.04,480.15
14632.68137,248.24,318.88,481.85
14660.04801,248.11,317.47,484.78
14681.87237,248.68,317.19,481.57
14715.39044,248.18,317.12,483.03
14744.9162,248.61,316.71,483.02
14771.65794,248.18,316.27,483.31
14795.62068,247.89,315.98,480.43
14827.25167,247.46,315.56,480.16
14853.54495,247.47,315.14,480.15
14878.39007,247.47,314.72,480.14
14904.00434,247.46,313.87,480.14
14928.23887,247.48,313.89,480.13
14952.95024,247.5,313.46,479.85
14978.69301,247.44,313.84,480.71
15004.52733,247.09,314.34,479.56
15032.45711,247.49,315.57,479.85
15058.48765,247.46,315.55,480.42
15083.41479,247.49,315.6,479.85
15108.36506,247.48,316.41,480.14
15133.92615,248.15,316.66,483.89
15158.38337,248.68,318.05,481.57
15183.06375,247.9,319.35,480.43
15209.45859,248.23,320.14,482.17
15231.64392,247.89,321.45,480.7
15253.63779,248.57,322.2,483.9
15281.51131,247.93,323.18,479.29
15304.73876,247.94,323.17,479.29
15330.99961,247.98,323.62,478.42
15353.74284,248.15,323.48,483.61
15381.64759,248.26,323.97,481.29
15409.4944,247.99,325.72,478.42
15435.3292,248.03,325.75,477.57
15459.82075,248.3,325.68,480.71
15486.90152,247.99,326.14,478.43
15512.01987,247.96,326.14,478.44
15534.3802,247.57,326.15,478.15
15561.82528,248.01,325.73,477.87
15583.179,247.99,325.74,478.14
15608.54006,248.0,325.32,478.42
15632.44534,247.98,324.46,478.42
15663.11336,247.96,323.61,478.99
15687.49976,248.25,323.54,481.29
15711.19094,247.95,323.61,479.28
15736.7382,248.28,320.17,480.99
15761.9431,248.6,318.39,483.03
15786.53646,248.16,316.65,484.18
15812.3889,247.71,316.24,483.61
15840.33108,247.77,316.3,482.44
15862.61463,247.82,316.33,481.86
15893.25929,247.88,316.38,480.43
15916.04114,247.9,315.55,480.42
15942.63792,247.79,316.32,482.15
15971.41695,248.21,315.87,482.72
15996.65785,247.48,316.4,480.14
16019.48452,247.49,315.58,479.86
16044.98529,247.56,314.36,478.72
16066.60414,247.49,313.06,479.85
16092.09204,247.08,313.04,479.86
16116.24122,247.51,313.05,480.13
16141.41798,247.5,313.91,479.85
16167.0289,247.83,315.07,481.57
16194.38338,247.8,315.46,482.15
16219.48171,248.18,316.28,483.31
16242.41614,247.85,316.34,481.29
16266.04915,247.84,316.34,481.57
16291.91852,248.57,316.65,484.19
16317.17658,247.88,317.67,480.43
16344.71583,248.64,318.42,482.74
16367.18726,247.93,319.39,479.57
16392.6928,248.15,320.08,483.61
16415.37213,247.87,321.46,480.71
16441.28156,247.89,322.73,480.41
16468.85967,248.63,323.51,482.73
16493.89362,248.2,324.37,482.74
16515.75994,247.02,325.25,480.73
16543.57958,247.97,325.3,478.42
16570.64009,248.01,325.74,478.15
16597.25022,247.56,324.88,478.43
16627.09141,247.55,325.31,478.15
16648.77415,247.98,325.72,478.71
16679.03996,247.14,325.72,478.43
16703.1045,247.57,326.16,478.42
16729.01869,247.58,325.72,477.87
16753.13377,247.91,325.68,480.14
16778.42021,247.93,325.71,479.56
16802.61016,248.3,325.68,480.42
16825.33741,247.96,325.72,479.0
16852.93078,247.99,325.31,478.43
16878.66855,247.6,324.91,477.57
16906.99196,247.97,324.46,478.44
