Time in ms,X in mm,Y in mm,Z in mm
9505.58519,249.51,317.23,479.62
9529.91915,249.12,317.25,479.33
9555.10807,249.46,317.19,480.48
9577.17276,249.5,317.65,479.9
9603.44958,249.52,317.65,479.61
9630.05614,249.51,317.24,479.61
9654.92821,249.49,317.23,479.9
9678.21312,249.49,317.64,479.89
9704.15711,249.54,317.25,479.31
9727.88835,249.52,317.65,479.89
9749.3062,249.55,317.25,479.03
9774.85538,249.5,317.23,479.61
9796.94796,249.54,317.66,479.32
9822.22486,249.14,317.7,478.46
9844.09881,249.51,317.22,479.61
9867.44571,249.85,317.57,481.63
9892.33589,249.49,317.65,479.9
9915.83943,249.5,317.24,479.6
9941.33711,249.89,317.62,481.05
9965.16228,249.52,317.24,479.6
9989.99882,249.52,317.65,479.33
10013.83877,249.5,317.63,480.19
10038.33699,249.5,317.64,479.89
10062.29138,249.48,317.2,480.19
10088.26685,249.53,317.24,479.32
10114.78496,249.15,317.29,478.45
10142.10224,249.52,317.23,479.33
10165.38787,249.5,317.64,479.61
10189.88991,249.5,317.22,479.61
10213.48667,249.49,317.23,480.18
10238.84249,249.52,317.65,479.32
10262.72559,249.5,317.65,479.89
10287.2498,249.51,317.23,479.89
10313.58624,249.51,317.23,479.61
10338.43017,249.88,317.2,481.05
10362.87379,249.51,317.23,479.6
10387.19749,249.48,317.61,480.48
10411.98039,249.15,317.27,478.45
10438.99393,249.21,317.33,477.31
10462.20684,249.49,317.22,480.17
10489.20155,249.51,317.23,479.62
10521.23761,249.53,317.22,479.6
10545.12262,249.53,317.23,479.33
10575.42086,249.87,317.18,481.05
10597.11909,249.5,317.22,479.89
10623.64888,249.48,317.2,480.47
10645.33067,249.51,317.21,479.9
10671.17429,249.81,317.13,482.21
10696.36893,249.54,317.66,479.03
10725.75736,249.52,317.66,479.6
10748.44408,249.12,317.27,478.74
10773.09179,249.49,317.21,480.47
10796.50593,249.87,317.18,481.34
10821.74516,249.49,317.22,480.17
10845.58439,249.16,317.7,478.18
10872.23959,249.49,317.22,479.89
10894.45472,249.49,317.62,480.19
10920.10307,249.5,317.66,479.61
10943.08996,249.49,317.21,480.2
10969.50746,249.86,317.59,481.34
10994.67826,249.84,317.15,482.22
11020.32328,249.5,317.22,479.9
11044.33084,249.5,317.23,479.61
11071.3141,249.53,317.66,479.6
11096.47012,249.89,317.59,481.05
11120.65291,249.51,317.64,479.89
11145.19668,249.49,317.64,480.17
11172.85824,249.12,317.25,478.75
11198.7021,249.52,317.24,479.32
11225.87323,249.48,317.21,480.18
11247.09129,249.48,317.63,480.47
11271.97123,249.51,317.24,479.6
11295.91322,249.5,317.23,479.89
11321.46716,249.5,317.21,480.17
11347.24402,249.47,317.2,480.19
11373.54708,249.87,317.6,481.63
11397.84026,249.53,317.65,479.31
11425.71115,249.51,317.65,479.6
11448.73285,249.51,317.65,479.61
11474.14041,249.52,317.66,479.3
11497.42508,249.5,317.25,479.32
11524.77646,249.52,317.23,479.32
11547.13821,249.49,317.2,480.19
11572.67118,249.52,317.66,479.6
11596.43412,249.13,317.27,478.46
11629.12512,249.51,317.24,479.61
11656.42715,249.89,317.17,480.76
11681.78868,249.49,317.21,480.46
11707.3524,249.51,317.66,479.61
11730.39627,249.52,317.23,479.88
11756.81305,249.16,317.28,478.46
11780.11703,249.12,317.69,478.48
11804.58617,249.12,317.24,479.04
11827.52395,249.55,317.25,478.76
11853.9989,249.49,317.22,479.89
11879.17876,249.5,317.21,479.62
11905.33042,249.51,317.22,479.61
11928.94793,249.5,317.22,479.89
11953.78351,249.15,317.26,478.46
11978.36065,249.51,317.24,479.32
12004.5104,249.53,317.22,479.6
12027.99702,249.49,317.22,479.9
12053.3998,249.53,317.66,479.32
12076.79868,249.47,317.2,480.47
12104.30908,249.13,317.27,478.74
12127.67887,249.49,317.21,479.9
12154.69599,249.85,317.59,481.34
12177.33121,249.86,317.18,481.35
12199.43213,249.86,317.58,481.35
12225.73972,249.84,317.16,481.36
12248.43693,249.53,317.65,479.33
12274.69134,249.5,317.22,479.9
12299.0222,249.51,317.64,479.62
12324.60213,249.49,317.21,480.18
12346.76218,249.48,317.2,480.47
12373.02637,249.49,317.21,480.18
12395.77389,249.49,317.22,479.9
12423.76041,249.52,317.24,479.6
12448.60578,249.5,317.24,479.6
12473.17123,249.51,317.2,480.17
12495.05591,249.17,317.29,478.16
12523.72622,249.51,317.65,479.9
12546.66615,249.48,317.21,480.18
12570.4658,249.48,317.62,480.46
12594.74635,249.88,317.59,481.33
12619.57788,249.5,317.22,479.89
12645.13993,249.51,317.64,479.89
12670.67814,249.53,317.23,479.89
12694.71002,249.14,317.27,478.47
12720.11113,249.13,317.27,478.74
12745.10026,249.89,317.61,481.05
12773.01645,249.49,317.23,479.9
12798.49744,249.51,317.65,479.6
12826.42055,249.49,317.22,479.9
12848.00911,249.54,317.67,479.32
12874.78828,249.51,317.23,479.61
12896.9636,249.5,317.22,479.89
12923.72346,249.51,317.25,479.05
12944.34977,249.47,317.2,479.9
12967.32593,249.53,317.66,479.03
12990.86738,249.52,317.23,479.6
13013.13663,249.49,317.21,479.9
13038.62238,249.52,317.23,479.6
13062.2921,249.86,317.18,481.34
13090.83343,249.46,317.19,480.48
13113.61313,249.52,317.21,479.61
13138.42964,249.48,317.2,480.19
