Time in ms,X in mm,Y in mm,Z in mm
9327.7595,247.11,315.21,478.99
9357.41973,245.39,315.15,480.13
9384.88102,245.77,315.13,480.7
9411.12471,245.72,315.08,481.31
9436.41758,246.09,315.47,482.44
9460.2766,245.89,315.29,485.96
9485.53133,245.96,315.34,484.78
9510.66685,246.09,315.03,482.72
9535.03203,245.74,315.08,481.28
9561.05304,246.08,315.45,482.45
9586.75575,245.33,315.09,481.29
9614.07566,247.85,315.1,481.29
9636.93738,248.79,315.19,479.28
9662.36162,251.21,315.07,481.85
9687.41369,252.03,314.62,482.44
9712.17823,252.87,314.59,482.45
9738.34825,253.79,314.73,480.14
9760.81872,255.02,314.22,481.59
9783.9148,255.46,314.29,480.14
9808.00247,255.93,314.82,478.42
9833.99057,257.93,313.72,483.04
9857.67961,258.37,313.73,482.75
9888.39364,258.79,313.73,483.03
9917.81855,258.81,314.22,481.58
9943.681,258.85,314.32,479.85
9972.36395,259.27,313.44,480.7
9999.37201,259.28,313.85,480.7
10024.81222,259.24,313.8,481.58
10050.29845,258.83,314.28,480.7
10074.15342,258.77,314.15,483.03
10100.3058,258.34,313.65,484.49
10123.25668,257.53,313.72,483.31
10149.39952,256.33,313.9,479.57
10173.33007,255.46,314.25,481.0
10195.62006,254.94,314.09,484.2
10222.79382,253.35,314.28,480.43
10250.50664,252.39,314.11,483.9
10274.85538,251.56,314.56,483.32
10300.04978,249.95,314.65,481.87
10324.85771,247.97,315.23,478.43
10349.20716,247.84,314.66,481.28
10378.66712,246.3,315.21,478.99
10401.93272,245.74,315.11,480.71
10447.48449,246.16,315.51,481.0
10478.00446,245.98,314.92,484.5
10501.72615,245.67,315.45,482.44
10524.3566,245.65,315.01,482.74
10550.37761,245.67,315.04,482.44
10582.51214,246.08,315.03,482.74
10608.96039,246.07,315.43,483.02
10634.10091,246.17,315.52,481.0
10657.27234,246.16,315.52,481.29
10684.34501,245.37,315.14,480.14
10712.59832,247.83,314.62,481.86
10736.10473,249.91,314.6,482.44
10761.5087,251.99,314.54,483.89
10789.49738,253.35,314.68,481.01
10825.57106,255.48,314.31,480.13
10850.2121,260.09,314.23,481.57
10873.5671,257.56,314.65,481.29
10896.12079,258.35,314.55,483.31
10919.1587,258.78,313.64,484.78
10945.53065,258.79,313.26,483.6
10975.44622,259.22,313.29,483.31
10999.61686,258.82,314.24,481.56
11025.61426,258.84,315.12,480.7
11049.57581,259.24,314.17,482.45
11076.46632,259.21,313.73,483.03
11100.29459,258.83,313.37,481.85
11123.26717,259.21,313.75,482.44
11149.72615,258.8,314.14,483.03
11172.85347,258.8,314.58,482.72
11199.65363,258.79,314.13,483.32
11224.54214,258.37,313.74,482.73
11251.06621,257.12,313.81,481.3
11273.77081,255.51,314.36,479.28
11301.44191,253.81,314.72,480.12
11329.3345,252.51,314.69,480.99
11357.93185,251.94,314.07,484.5
11388.97467,249.99,314.69,480.99
11415.05885,247.92,315.17,479.84
11440.19747,247.96,315.21,478.99
11471.75288,247.42,315.52,481.01
11502.86722,244.74,314.96,483.9
11527.01211,246.15,315.07,481.29
11551.59426,245.38,315.16,480.13
11588.27686,246.09,315.46,482.44
